"prolific_id","subj","item_1","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_2","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_3","item_31","item_32","item_33","item_34","item_35","item_4","item_5","item_6","item_7","item_8","item_9","item_10"
"5e84749b0a1fb10009bc12b9",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e3ff4799b24e922c16e2ebd",24,"1","1","2","0","2","2","3","2","2","1","1","2","2","0","2","1","1","2","1","3","1","2","1","2","1","2","3","1","1","2","2","2","1","3","0"
"5da857a82ff00400162bc9b8",25,"3","0","3","2","3","1","2","2","1","1","1","3","2","1","1","1","0","3","3","2","1","2","2","1","2","2","1","1","1","0","1","0","1","2","2"
"5ea171c1a8782801263e7540",26,"1","1","2","1","1","1","1","1","1","1","1","1","2","1","3","1","2","2","1","1","2","2","1","1","2","2","1","2","1","2","1","1","2","1","2"
"5f0b4c0076b70d45de9f2c60",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5a820545b093f80001a7bcbc",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5df77306c12a36506b5e95f4",29,"1","1","1","0","0","1","1","3","1","2","1","1","1","1","0","0","1","2","0","1","1","0","1","1","3","0","0","0","0","1","0","2","3","2","2"
"566bdeb3beaf21001240085a",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c21f91a867f660001ad4a2a",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ee8d490ae8cb41f67de94ae",32,"1","0","1","0","1","0","1","2","2","1","1","1","2","2","3","1","0","2","0","0","1","2","1","2","1","2","0","3","0","1","0","1","3","3","3"
"5ecd691b602f7f0d05642cc3",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5eb920c7deb88e01c5a124ba",34,"1","2","0","0","0","2","1","1","1","0","1","2","2","1","2","1","2","1","1","3","1","1","1","2","1","3","1","1","1","0","1","2","3","1","3"
